"Date_Created""Date_Modified","Project_ID","Record_Owner","Last_Modified_By","Notes","Project_Name","Estimated_Project_Start_Date","Estimated_Project_End_Date","Project_Summary","Priority","Status","Project_Lead","Start_Date","Planned_Finish_Date","Percent_Complete","Customer_Contact","Company","Contact_Name","Actual_Cost","Estimated_Cost","Actual_Hours","Percent_Over_Budget","Time_of_Day","Related_Contact","Contact___Company","Contact___Name","QuNect_Restore_Temporary_Record_ID_",
"1/1/2018 10:08:59 AM""8/17/2021 6:47:51 PM","1162","demo@qunect.com","claude","","Project \#10","4/30/2020 12:00:00 AM","1/1/1900 12:00:00 AM","new record","foo","Keep Cache","""a456123""","","","","","","","","1023","","","00:00:00","","","","",
"2/14/2018 7:36:02 PM""9/10/2021 7:11:10 PM","1163","demo@qunect.com","demo@qunect.com","","Project #11","4/30/2020 12:00:00 AM","1/1/1900 12:00:00 AM","foobar\foobar","bar","Keep Cache","demo@qunect.com","","","","","","","","46","","","00:00:00","","","","",
"3/18/2018 6:32:08 PM""9/10/2021 7:11:10 PM","1164","demo@qunect.com","demo@qunect.com","","Project #12","4/30/2020 12:00:00 AM","1/1/1900 12:00:00 AM","tab	tab","bar","Keep Cache","","","","","","","","","56","","","00:00:00","","","","",
"3/18/2018 6:41:45 PM""9/10/2021 7:11:10 PM","1165","demo@qunect.com","demo@qunect.com","","Project #13","4/30/2020 12:00:00 AM","1/1/1900 12:00:00 AM","","bar","Keep Cache","","","","","","","","","456","","","00:00:00","","","","",
"2/15/2021 4:49:00 PM""9/10/2021 7:11:10 PM","1483","claude","demo@qunect.com","","foo","9/14/2021 12:00:00 AM","","","bar","","","","","","","","","","456786","","","","","","","",
"2/15/2021 4:49:20 PM""9/10/2021 7:11:10 PM","1484","claude","demo@qunect.com","","hello","9/14/2021 12:00:00 AM","","","bar","","","","","","","","","","78","","","","","","","",
"2/20/2021 9:07:34 AM""9/10/2021 7:11:10 PM","1485","claude","demo@qunect.com","","1","9/14/2021 12:00:00 AM","","","bar","","","","","","","","","","67","","","","","","","",
"2/20/2021 9:07:38 AM""9/10/2021 7:11:10 PM","1486","claude","demo@qunect.com","","2","9/14/2021 12:00:00 AM","","","bar","","","","","","","","","","56","","","","","","","",
"2/20/2021 9:07:41 AM""9/10/2021 7:11:10 PM","1487","claude","demo@qunect.com","","3","8/31/2021 12:00:00 AM","","","bar","","","","","","","","","","9","","","","","","","",
"2/20/2021 9:07:43 AM""9/10/2021 7:11:10 PM","1488","claude","demo@qunect.com","","4","8/31/2021 12:00:00 AM","","","bar","","","","","","","","","","45","","","","","","","",
"2/20/2021 9:07:46 AM""9/10/2021 7:11:10 PM","1489","claude","demo@qunect.com","","5","8/31/2021 12:00:00 AM","","","bar","","","","","","","","","","34","","","","","","","",
"2/20/2021 9:07:48 AM""9/10/2021 7:11:10 PM","1490","claude","demo@qunect.com","","6","8/31/2021 12:00:00 AM","","","bar","","","","","","","","","","23","","","","","","","",
"2/20/2021 9:07:51 AM""9/10/2021 7:11:10 PM","1491","claude","demo@qunect.com","","7","8/31/2021 12:00:00 AM","","","bar","","","","","","","","","","333","","","","","","","",
"2/20/2021 9:07:56 AM""9/10/2021 7:11:10 PM","1492","claude","demo@qunect.com","","8","8/31/2021 12:00:00 AM","","","bar","","","","","","","","","","45","","","","","","","",
"5/21/2021 2:56:43 PM""8/17/2021 6:39:06 PM","1508","claude","claude","","CEVA_PRO_truro@vets4pets.com","","","","bar","","","","","","","","","","55","","","","","","","",
